zpid,latest_salemonth,latest_saleyear
64884229,5,2018
122187425,5,2018
70352621,5,2020
29336753,9,2020
29372817,11,2018
70326563,6,2020
29345252,4,2020
83826619,6,2018
2083758560,9,2020
83831530,12,2019
29346751,6,2018
119897068,6,2019
29370316,5,2018
70344529,6,2018
29343737,6,2020
70992052,12,2020
241931358,4,2019
241933017,6,2018
29366816,8,2019
121424443,12,2020
29356726,12,2018
29343735,7,2020
111373038,7,2019
58300314,6,2019
111960857,1,2019
241931617,6,2020
70356027,9,2019
67011042,12,2019
29336735,7,2018
29554314,9,2018
2146313225,6,2019
80098038,10,2019
251034511,10,2019
70356026,2,2020
119632356,7,2020
29343573,1,2020
241933009,10,2020
80103476,6,2020
29334733,4,2020
58298722,2,2018
70326532,12,2020
84139856,11,2020
241931613,5,2019
120898730,7,2018
241933006,8,2020
29346568,10,2020
29370314,8,2019
83823613,12,2019
79981108,12,2019
29345230,6,2020
29337999,4,2020
120767540,6,2019
2090533813,5,2018
70326530,2,2019
80102333,7,2020
28594352,8,2018
80087613,4,2018
29343373,12,2020
119615718,3,2020
111972040,3,2020
70326528,5,2019
29336725,10,2020
89410351,5,2019
67011039,7,2018
70326524,7,2019
29460013,9,2019
124838217,2,2019
88016036,12,2020
70356011,11,2019
83825022,7,2019
2090493348,8,2019
29356711,12,2018
29374813,3,2019
116081034,12,2019
29397022,7,2019
121656209,3,2020
29343563,9,2020
251030010,4,2019
111371605,4,2018
29549312,9,2020
80104224,2,2020
243334033,8,2018
70326521,5,2018
70356010,4,2018
29356708,6,2020
29344967,7,2018
70326518,5,2019
29341560,5,2018
64661010,3,2019
70352605,11,2020
2090915506,5,2018
70992030,6,2018
29375811,9,2020
29345221,5,2019
70344008,6,2019
70352603,5,2018
80078343,10,2018
116081028,2,2020
29356706,9,2019
70352473,11,2020
29334721,11,2019
58300332,10,2018
111371004,3,2019
89545601,9,2019
29345219,1,2019
29356195,3,2018
116081026,11,2019
29361193,7,2020
29346714,6,2020
121723404,11,2020
2081332192,3,2020
29372481,11,2019
28605498,9,2019
29364192,4,2018
29343707,9,2019
29343536,5,2019
89658522,5,2019
119626834,7,2019
29372308,12,2018
29343531,8,2020
29359192,9,2020
70348206,12,2018
89415334,5,2018
70992022,4,2018
29370308,4,2019
70352592,7,2019
29338030,8,2018
29359191,9,2019
125740702,6,2018
83814085,12,2020
29344965,6,2018
114406027,8,2018
64638190,12,2020
111966154,12,2020
29375805,12,2020
125822584,2,2018
29345202,7,2019
125230829,5,2019
29374805,8,2018
70352584,7,2018
29359190,11,2020
29343518,2,2020
29346698,3,2020
80075328,7,2020
29366803,4,2018
70352582,3,2020
83833016,4,2019
29376300,8,2018
84077570,4,2018
121655186,10,2020
29348697,2,2018
80091570,4,2019
2081425326,4,2020
29364185,9,2018
121724693,11,2020
124718799,10,2020
29343505,4,2018
29346695,12,2020
145652568,7,2019
29364184,4,2018
64441799,5,2018
29343504,4,2019
29356684,4,2019
28594322,3,2018
83817557,8,2018
111966820,9,2019
29361183,3,2020
29336692,10,2020
29376295,7,2019
80075314,12,2019
58298682,8,2020
120896688,11,2020
29372794,8,2019
119623313,5,2019
83124053,11,2019
29364181,12,2020
125902464,9,2019
89552052,9,2018
2086105793,10,2019
29356181,10,2018
83831547,10,2018
29374792,12,2019
84132809,10,2018
29339686,11,2019
83813546,7,2019
29373946,12,2020
29334684,12,2018
67011012,9,2020
29372789,6,2018
80099043,3,2018
125235807,4,2019
70352688,1,2021
110537681,7,2019
241934284,4,2018
121654678,5,2018
83124040,6,2019
94642681,4,2019
122185807,10,2020
29372784,6,2018
29361174,1,2019
70352464,7,2019
29356174,4,2018
29368284,9,2019
145656494,11,2019
122187305,10,2019
89552179,6,2019
83124039,6,2020
121658305,8,2019
29356673,10,2019
83827679,4,2020
64686539,12,2019
29361172,5,2019
241933296,2,2019
29339678,1,2020
29361167,7,2019
89550033,6,2020
29372282,7,2018
121654993,5,2018
29356667,12,2018
116081009,11,2020
29372781,9,2018
80094033,10,2019
29346676,10,2018
111964492,4,2019
29359165,4,2020
111373532,5,2019
2083090996,8,2020
29372280,9,2020
114311675,4,2020
96605612,12,2020
241934278,12,2018
28593789,2,2018
67011002,6,2018
83830026,5,2018
29343919,12,2020
70352526,2,2020
80082495,6,2019
80108524,6,2018
70352521,2,2020
250400287,4,2020
58298020,12,2020
83829017,4,2019
84129286,6,2018
70352512,4,2019
122186285,11,2018
94642011,10,2018
28594285,2,2019
79980508,5,2018
70352505,6,2018
121657782,6,2020
