zpid,streetAddress,latestPrice
2080854860,4616 Esper Ln,200000
29346937,10916 River Terrace Cir,599500
29360950,6621 Mesa Hollow Dr,450000
145656290,7216 Cherry Beam Path,349000
29341421,6328 Ayres Dr,1325000
29375949,9300 Springwood Dr,550000
145655859,15313 Knighten Ln,217500
83819673,14020 Lake View Dr,865000
29344936,1700 Canyon Edge Dr,565000
29353950,5911 Long Ct,899900
89651406,14101 Willow Tank Dr,219900
2089992289,7720 Vista Mejor Dr,338900
29368449,9702 Grand Oak Dr,545000
89551588,2320 Elara Dr,161940
80103408,5121 Bantom Woods Bnd,133000
29368659,7105 Mountain Trl,549500
83828934,1701 Chalk Rock Cv,885000
58298947,6906 Agave Cv,798500
58265948,11511 Brandon Parke Trl,400000
89548573,2412 Kale Dr,217000
83123896,13212 Coleto Creek Trl,700000
64750934,1102 Lipan Trl,849900
29355947,5505 Lakemoore Dr,535000
29368658,7011 Mountain Trl,450000
58265946,11512 Brandon Parke Trl,480000
241938280,7205 Garnet Mill Ln,437500
70330433,1108 Marly Way,625000
29396905,5721 Alsace Trl,225000
29361022,7604 Crossmeadow Dr,849500
29376446,10600 Beckwood Dr,549900
2080460279,7001 Garnet Mill Ln,399900
80093390,533 Santaluz Path,825000
29343408,3505 Native Dancer Cv,799000
63835353,14921 Arizona Oak Ln,119900
29396904,5717 Alsace Trl,159000
121719897,14300 Tyburn Trl,550000
29351445,5626 Parade Rdg,550000
29368642,7921 Davis Mountain Pass,564900
29370446,10202 Lockleven Cv,525000
70352485,12801 Wooded Lake Ct,715000
29344931,2104 Island Wood Rd,3175000
29459853,4604 Sojourner St,160000
89663390,11109 Persimmon Gap Dr,315000
145654553,1600 Caballo Blanco Rd,285000
29341408,2000 Canonero Dr,1295000
29376445,10602 Beckwood Dr,620000
29373139,13545 Bullick Hollow Rd,598000
83124879,216 Mediterra Point,495000
70336928,2024 Wimberly Ln,1100000
70338352,14920 Truman Oak Cv,215000
88014884,11404 Fletcher Hall Ln,379800
29351440,5614 Parade Rdg,399000
29370832,8113 Davis Mountain Pass,540000
29368445,9710 Grand Oak Dr,475000
125158378,1103 Merlene Dr,689000
70338351,14900 Truman Oak Cv,207500
29342428,9803 Westward Dr,399000
125792770,4912 Bonneville Bnd,389900
29355939,5701 Lakemoore Dr,685000
29343407,3503 Native Dancer Cv,975000
88013884,11125 Dodge Cattle Dr,325000
29368633,8101 Davis Mountain Pass,280000
29374944,11117 Calavar Dr,480000
83824877,13505 Coleto Creek Trl,749900
249891260,7925 Beacon Knob Way,405000
29344906,3100 Smoky Rdg,750000
29351438,5608 Parade Rdg,409000
29342427,9803 Timber Ridge Pass,457000
29368632,8023 Davis Mountain Pass,265000
29396897,5715 Sendero Hills Pkwy,205000
29372944,10202 Pickfair Dr,622500
83124877,208 Mediterra Point,425000
63837777,3408 Crownover St,175000
29461349,14506 Highsmith St,175000
70336926,2000 Wimberly Ln,1095000
58298435,6106 Gardenridge Holw,350000
29368631,8021 Davis Mountain Pass,389900
111373376,12313 Mediterra Pl,575000
29376441,10607 Marbury Ct,510000
145656010,11700 Saddle Rock Dr,255000
29342426,9711 Timber Ridge Pass,420000
29351434,5607 Courtyard Dr,650000
251030758,5504 Gooding Dr,350000
29368608,8001 Weldon Springs Ct,474500
125792898,2508 Arion Cir,1325000
83827393,9012 Southwick Dr,205000
89551502,2416 Kale Dr,215000
29374438,9906 Richelieu Rd,623000
29342422,9802 Westward Dr,420000
70331933,5525 City Park Rd APT 6,1400000
29368601,12407 Waterton Parke Cv,242200
80104872,12701 Tierra Grande Trl,395000
58298431,6004 Gardenridge Holw,325000
144176918,2403 Saratoga Dr,485000
29368594,12500 Mcloughlin Point,479900
29375933,9304 Cedar Forest Dr,710000
29357371,2205 Big Horn Dr,1100000
29344897,3219 Smoky Rdg,774000
70336913,1925 Wimberly Ln,899000
64505930,6730 Cuesta Trl #5,1125000
64737390,5620 Toscana Ave,269990
88019366,10905 Dodge Cattle Dr,384900
29374432,9903 Brandywine Cir,619900
29368593,7949 Castle Peake Trl,410000
249891254,7312 Van Ness St,320000
29357369,2201 Big Horn Dr,1595000
120898908,12301 Labrador Bay Ct,595000
79981846,4603 Halliday Ave,209000
29376431,10614 Marbury Ct,445000
29343397,6007 Carry Back Ln,1215000
29358974,6902 Rusty Fig Dr,609995
111371886,9413 China Rose Dr,240000
29368581,8012 Davis Mountain Pass,475000
83124867,11912 Montclair Bnd,574900
70992361,15308 Staked Plains Loop,212500
80104386,9024 Sun Shower Bnd,240000
63835340,15120 Arizona Oak Ln,175000
29357366,2103 Big Horn Dr,1775000
29372930,10304 Holme Lacey Ln,379950
29368548,8141 Tahoe Parke Cir,549900
67415405,10046 Circleview Dr,775000
29353930,6300 Sprucewood Cv,399000
88019360,15529 Staked Plains Loop,379000
29459839,4701 Sojourner St,221000
29363429,8009 High Hollow Dr,650000
80104364,900 Santaluz Path,681900
249891249,7305 Coit Rd,390000
29368546,12205 Waterton Parke Cir,475000
63835337,15105 Stave Oak Ln,219900
29566857,12310 Bent Cedar Cv,175000
111372714,412 Summer Alcove Way,959000
29376426,11307 Nutwood Cv,489000
29363428,8005 High Hollow Dr,765000
29342404,110 S Lake Hills Dr,325000
29368532,12201 Klondike Rush Point,419900
29459837,4723 Castleman Dr,52500
58298927,7205 Waldon Dr APT 209,258000
29396879,6013 Seville Dr,412900
29368531,12203 Klondike Rush Point,550000
29343391,3515 Needles Dr,1350000
70352403,516 Horseback Holw,725000
29375925,9305 Spring Hollow Dr,768000
80104481,233 Santaluz Ln,865000
2079519189,3502 Batson Dr,263990
29363427,8001 High Hollow Dr,550000
70992349,11513 Gold Cave Dr,339900
249891244,7116 Lombard Ln,439900
29341389,2105 Canonero Dr,1149000
90240400,108 Thistle Ct,1095000
29395366,5321 King Henry Dr,299000
88023347,14605 Staked Plains Loop,470000
251034742,7908 Donnelley Dr,412206
58298426,6005 Gardenridge Holw,424900
29348387,4819 N Capital Of Tx Hy #1,3495000
29368530,12205 Klondike Rush Point,384900
111372365,9220 China Rose Dr,239900
111973229,14505 Amy Francis St,189900
70992346,15316 Staked Plains Loop,375000
89550899,300 Horseback Holw,649900
29344884,3505 Robbins Rd,3250000
29374423,11115 Orsini Pl,849000
29368568,8037 Tahoe Parke Cir,559900
241931861,6029 Florencia Ln,428900
121657728,711 Yabers Ct,194973
29358926,6807 Falcata Cv,915000
249891240,7704 Vista Mejor Dr,375000
55299492,13800 Madrone Mountain Way,990000
80104336,12728 Tierra Grande Trl,365000
70352400,606 Horseback Holw,590000
29341382,1913 Canonero Dr,699000
29374422,11111 Orsini Pl,399500
70992345,11616 Mcdows Hole Ln,289000
83818357,5201 Park At Woodlands Dr,257900
29462725,3411 Peavy Dr,205000
29351423,5503 Courtyard Dr,465900
29461328,14508 Rumfeldt St,214900
29340878,7805 Brightman Ln,1244000
55299490,13420 Madrone Mountain Way,149900
70352399,612 Horseback Holw,649500
29395357,5303 King Henry Dr,250000
29462724,3409 Peavy Dr,195000
29372422,10711 Keystone Bnd,550000
29340875,605 N Weston Ln,1290000
29368517,8003 Caribou Parke Cv,425000
83823333,13208 Coleto Creek Trl,810000
145657233,7208 Brick Slope Path,349900
55299488,13809 Madrone Mountain Way,719900
70992340,11520 Mcdows Hole Ln,209495
70345723,3307 Etheredge Dr,214900
70336899,2308 Swirling Wind Cv,1045000
83833421,9308 Prince Charles,1449000
70335832,12725 Rush Creek Ln,475000
29370422,9105 Skye Cv,612000
125750185,5930 Bold Ruler Way,3950000
70992341,11600 Mcdows Hole Ln,340000
145656729,8024 Annalise Dr,328000
2077718915,7000 Cut Plains Trl,525000
70348219,1213 Red Oak Valley Ct,485000
88023921,11125 Sandstone Trl,452000
251033728,7812 Donnelley Dr,429900
70992334,14312 Staked Plains Loop,199000
80093353,9021 Quick Stream Dr,225000
29459824,4719 Fallenash Dr,156485
29346897,1700 Foggy Glen Cv,612000
29340866,205 N Weston Ln,1350000
64543920,10734 Centennial Trl,730000
202152984,176 Stoney Point Rd,519900
70992331,14308 Homestead Village Cir,409000
29368502,8007 Weldon Springs Ct,329000
111372345,9404 China Rose Dr,298500
29351415,5500 N Scout Island Cir,1249000
29342397,104 N Lake Hills Dr,585900
241938219,7108 Sienna Rouge Path,355000
29344861,6702 Troll Hvn,1290000
29368420,9204 Rolling Oaks Trl,337000
29368500,8026 Tahoe Parke Cir,519900
80084981,147 Winecup Way,390000
70326844,6220 Seville Dr,325000
29351414,5410 N Scout Island Cir,1500000
70336895,2305 Swirling Wind Cv,1295000
70345711,3103 Etheredge Dr,200000
70992322,14408 Homestead Village Cir,364900
145658498,6037 Seville Dr,410000
145655717,5316 Ingersoll Ln,305000
29360913,6609 Robbie Creek Cv,449000
64696895,9119 Spinning Leaf Cv,1200000
185217321,11521 Mcdows Hole Ln,315000
70345708,3112 Etheredge Dr,127926
29377417,10510 Weller Dr,755000
83124822,400 Emerald Ridge Dr,589000
84138980,160 Daisy Path,495000
83824836,5313 Park At Woodlands Dr,289900
2088560215,7104 Sentry Path,385990
29363410,8012 Jester Blvd,750000
2099325819,13717 Wiregrass Way,514900
70352394,1221 Red Oak Valley Ct,600000
29462708,3207 Peavy Dr,180000
29344853,6637 Dogwood Creek Dr,847000
83815821,12304 Edenvale Path,525000
64640832,5532 Toscana Ave,288500
29461309,4203 Boatwright Cv,204400
55299479,13525 Madrone Mountain Way,595000
29375915,9421 Spring Hollow Dr,695000
70336894,2309 Swirling Wind Cv,1300000
29344851,3705 Dogwood Creek Cv,1275000
29351909,9205 Prince William,999900
29439010,1212 Weatherford Dr,315000
111371325,9120 China Rose Dr,240000
28594363,16499 Westview Trl,415000
29461308,4201 Boatwright Cv,219500
124843201,5508 Gooding Dr,350000
60138195,14407 Sandifer St,219900
111969317,13917 Turkey Hollow Trl,420000
29370415,9101 Caira Cv,449000
120895893,11425 Shoreview Cv,749900
80094819,430 Santaluz Path,624900
111372822,9504 China Rose Dr,244000
29471186,10801 Moore Rd,250000
29459807,4716 Castleman Dr,185500
119620477,1545 Cool Spring Way,569000
29372913,10202 Echoridge Dr,665000
70992316,14216 Rountree Ranch Ln,375000
58297966,2800 Waymaker Way UNIT 18,460000
29351905,8900 Westminster Glen Ave,1075000
83817317,8821 Southwick Dr,214900
70352389,1208 Red Oak Valley Ct,395000
29372413,10706 Leafwood Ln,600000
29344839,6636 Dogwood Creek Dr,1600000
119620476,1847 Cool Spring Way,679000
29462690,14516 James Vincent Dr,200000
70992306,14309 Rountree Ranch Ln,295000
29351902,8901 Westminster Glen Ave,1190000
80106317,5116 Bantom Woods Bnd,225000
29459805,4700 Sojourner St,200000
29343832,10011 Lake Ridge Dr,490000
29375911,9409 Cedar Crest Dr,594900
55299476,13425 Madrone Mountain Way,596900
29470178,6809 Creedmoor Dr,130000
29464189,3117 Peavy Dr,122000
29395310,6200 Parliament Dr,247000
58298400,6905 Dogwood Holw,425000
79981802,4604 Acers Ln,169000
29342388,9308 Stallion Dr,725000
29375910,11809 Balcones Way,599999
111372812,405 Summer Alcove Way,685000
145658177,5408 Kara Dr,279000
29464187,3113 Peavy Dr,179900
29344833,6612 Dogwood Creek Dr,1375000
83816303,5413 Park At Woodlands Dr,230000
29353898,5604 Blueridge Ct,855000
