streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
2610 Water Well Ln,1983,38,2191,3,2.0
5002 Miss Julie Ln,2010,11,2545,4,4.0
7558 Fireoak Dr,1991,30,3279,4,4.0
14929 Purslane Meadow Trl,1999,22,1887,4,2.0
12513 Silver Spur,1976,45,2229,4,2.0
5009 Timber Wolf Cir,1978,43,1602,3,2.0
7303 Tanbark Cv,1979,42,2236,4,2.0
12705 Cantle Trl,1984,37,1750,3,3.0
11203 Toledo Dr,1976,45,1808,3,2.0
14616 Yora Dr,1994,27,1676,3,2.0
3604 Palomar Ln,1982,39,2016,3,2.0
14818 Yellowleaf Trl,1982,39,1447,3,2.0
4809 Whispering Valley Dr,1992,29,2648,4,3.0
12510 Limerick Ave,1976,45,1084,3,2.0
7554 Fireoak Dr,1995,26,2743,4,2.5
12112 Shetland Chase,1971,50,2120,3,2.0
2320 Klattenhoff Dr,1984,37,1085,0,2.0
12215 Mosley Ln,1983,38,1474,3,2.0
12000 Charm Cir,1993,28,2568,4,3.0
6501 Danwood Dr,1982,39,1748,3,3.0
15313 Mallard Green Ln,1997,24,2687,3,3.0
4708 Adelphi Ln,1983,38,1644,3,3.0
12002 Charm Cir,1992,29,2178,3,3.0
1721 Camas Dr,1998,23,1980,4,2.0
6505 Danwood Dr,1982,39,1836,4,2.0
4704 Adelphi Ln,1983,38,1573,3,2.0
1725 Camas Dr,1999,22,2246,4,2.0
10700 Bull Ridge Dr,1988,33,2932,5,3.0
15221 Mallard Green Ln,1997,24,1787,3,2.0
10402 D K Ranch Rd,1972,49,3440,4,4.0
5201 Branding Chase St,1976,45,1967,4,2.0
12406 Cassady Dr,1984,37,1786,3,2.0
2105 Margalene Way,1999,22,1597,3,3.0
4807 Gerona Dr,1975,46,1752,3,2.0
8211 Wexford Dr,1982,39,1802,4,3.0
3804 Tattershall Ln,1981,40,1359,3,2.0
1817 Michael Wayne Dr,1985,36,1552,3,3.0
11031 Galleria Cv,1994,27,2542,4,3.0
4708 Marblehead Dr,1982,39,1506,3,2.0
3605 Palomar Ln,1982,39,1714,3,2.0
2453 Rick Whinery Dr,1995,26,2540,3,3.0
11502 Cherry Hearst Ct,1987,34,2157,4,3.0
4702 Marblehead Dr,1982,39,2019,4,2.0
4806 Transit Cir,1984,37,1625,3,2.0
2301 Fuzz Fairway,1992,29,2004,3,2.0
10801 Mellow Ln,1972,49,1890,3,2.0
2106 Red Stone Ln,1979,42,1124,3,2.0
7006 Shumard Cir,1978,43,1596,3,2.0
12420 Cassady Dr,1984,37,2023,4,2.0
4302 Steve Scarbrough Dr,1982,39,1432,3,2.0
14916 Rose Pavonia Pl,1997,24,1980,4,2.0
6402 Colina Ln,1984,37,2194,3,3.0
12018 Black Angus Dr,1984,37,2169,3,3.0
4104 Kilgore Ln,1981,40,1814,3,2.0
3610 Lovage Dr,1982,39,1469,3,2.0
6400 Colina Ln,1984,37,2431,4,3.0
2305 Water Well Ln,1982,39,1858,3,3.0
4810 Pelham Dr,1982,39,1568,3,2.0
11904 Arabian Trl,1968,53,2824,4,2.0
2206 Emmett Pkwy,1992,29,1427,3,2.0
4705 Craig Dr,1984,37,2174,4,3.0
4702 Pelham Dr,1982,39,1566,3,2.0
2303 Emmett Pkwy,1992,29,2667,3,2.0
4305 Red Cloud Dr,1982,39,1700,3,3.0
4705 Rustown Dr,1992,29,2370,4,3.0
3409 Ribbon Reef Ln,1999,22,2811,4,3.0
12025 Cabana Ln,1978,43,1824,3,3.0
2511 Dowd Ln,1985,36,1052,2,2.0
4312 Red Cloud Dr,1981,40,1677,3,2.0
4800 Whispering Valley Dr,1992,29,2343,4,2.0
14313 Terisu Ln,1992,29,2516,4,3.0
2111 Waterway Bnd,1985,36,1485,3,2.0
4307 Zuni Dr,1979,42,1823,3,2.0
4309 Zuni Dr,1979,42,1638,3,2.0
14427 Robert I Walker Blvd,1985,36,1052,2,2.0
14419 Robert I Walker Blvd,1985,36,1390,3,2.0
14314 Richard Walker Blvd,1985,36,1815,3,2.0
3525 Mocha Trl,1997,24,1706,3,2.0
14406 Richard Walker Blvd,1985,36,1829,3,2.0
2336 Klattenhoff Dr,1984,37,1007,2,2.0
15000 Natural Spring Way,1985,36,1939,4,3.0
15043 Jacks Pond Rd,1999,22,2208,4,3.0
2111 Klattenhoff Dr,1984,37,1636,3,2.0
5700 Miramonte Dr,1996,25,3391,5,4.0
2404 Dowd Ln,1985,36,1346,3,3.0
7002 Shumard Cir,1980,41,1746,3,2.0
11805 Three Oaks Trl,1974,47,1910,3,2.0
8309 Wexford Dr,1982,39,1750,3,3.0
14523 Robert I Walker Blvd,1984,37,1007,2,2.0
8107 Pilgrims Pl,1981,40,2116,4,3.0
4008 Licorice Ln,1996,25,2719,4,3.0
14519 Robert I Walker Blvd,1984,37,1043,2,2.0
11101 Sierra Nevada,1985,36,2161,3,3.0
6906 Rain Creek Pkwy,1988,33,3490,4,3.0
11003 Galleria Cv,1990,31,2115,3,3.0
3201 Jewelfish Cv,1999,22,2771,4,3.0
10508 Oak View Dr,1994,27,3143,4,3.0
10617 Double Spur Loop,1980,41,2540,4,3.0
14420 Tiffer Ln,1984,37,1111,2,2.0
6804 Rain Creek Pkwy,1993,28,2896,4,3.0
2202 Taylor Simonetti Ave,1984,37,1800,4,2.0
11459 Rustic Rock Dr,1991,30,2806,4,3.0
15712 Opal Fire Dr,2000,21,1578,3,2.0
10901 Galleria Cv,1990,31,2920,4,3.0
12111 Forsythe Dr,1980,41,1376,3,2.0
2211 Waterway Bnd,1985,36,1597,3,2.0
7915 Parliament Pl,1979,42,1616,3,3.0
12601 Barricks Cv,1983,38,1656,3,2.0
10407 Double Spur Loop,1980,41,2608,3,3.0
3702 Northfield Rd,1976,45,1947,4,2.0
7917 Parliament Pl,1979,42,1672,3,3.0
4202 Cumbria Ln,1983,38,1848,4,2.5
12202 Antoinette Pl,1983,38,2218,4,3.0
5801 Miramonte Dr,1996,25,2996,4,4.0
2401 Rodeo Dr,1996,25,3106,4,3.0
2110 Taylor Simonetti Ave,1984,37,1810,4,2.0
10645 Floral Park Dr,1984,37,2559,4,3.0
4703 Callisto Ter,1984,37,1549,3,2.0
12306 Tipperary Cv,1981,40,1531,3,2.0
12127 Cabana Ln,1981,40,1941,3,3.0
10416 Charette Cv,1991,30,2412,4,3.0
5809 Miramonte Dr,1996,25,3495,4,3.0
2404 Rodeo Dr,1995,26,2110,4,2.0
12303 Meuse Cv,1983,38,1816,3,2.0
5911 Sierra Grande Dr,1987,34,2573,4,2.0
12300 Meuse Cv,1983,38,2003,3,2.0
8001 Parliament Pl,1979,42,1000,2,1.0
12212 Forsythe Dr,1980,41,1720,3,2.0
4115 Columbine Dr,1997,24,1589,3,2.0
6005 Sierra Grande Dr,1991,30,2231,3,3.0
2002 Ploverville Ln,1985,36,1395,3,3.0
2441 Equestrian Trl,1996,25,2293,3,2.0
6009 Woodcrest Dr,2012,9,3045,4,3.0
4201 Columbine Dr,1997,24,1944,3,3.0
12705 Palfrey Dr,2006,15,1659,3,2.0
11226 Blackmoor Dr,1978,43,1678,3,3.0
12329 Danny Dr,1978,43,1964,3,2.0
7107 Fireoak Dr,1978,43,1658,3,2.0
8745 Lemens Spice Trl,1999,22,3215,4,3.0
12315 Danny Dr,1978,43,2100,4,2.0
8310 Wexford Dr,1982,39,2039,4,2.0
2112 Nathan Dr,1987,34,1371,3,3.0
12401 Cassady Dr,1984,37,1679,3,2.0
10625 Floral Park Dr,1986,35,2115,3,2.0
12307 Danny Dr,1978,43,1602,3,2.0
7008 Danwood Dr,1977,44,2079,3,2.0
10619 Floral Park Dr,1985,36,2338,4,3.0
4213 Walling Forge Dr,1999,22,1678,3,2.0
12408 Blossomwood Dr,1984,37,2321,3,3.0
8025 Scotland Yard,1980,41,1850,3,2.0
12207 Antoinette Pl,1983,38,1904,3,3.0
8300 Wexford Dr,1982,39,2118,4,3.0
4216 Columbine Dr,1999,22,2747,3,2.5
2601 Tracy Trl,1984,37,1118,3,2.0
11321 D K Ranch Rd,1977,44,1852,4,2.0
12517 Limerick Ave,1976,45,1007,3,2.0
6221 Harrogate Dr,1996,25,2795,4,3.0
2108 Nathan Dr,1986,35,1650,3,3.0
12504 Palfrey Dr,2006,15,2637,3,3.0
10605 Oak View Dr,1994,27,3355,4,4.0
2104 Taylor Simonetti Ave,1984,37,1636,3,2.0
12506 Palfrey Dr,2005,16,2677,4,3.0
7103 Shumard Cir,1976,45,1797,3,2.0
15100 Natural Spring Way,1986,35,1766,4,2.0
7008 Vallecito Dr,1983,38,1695,3,2.0
6301 Harrogate Dr,1996,25,2585,4,3.0
12320 Marogot Run,1984,37,840,2,1.0
2106 Warfield Way,1985,36,1423,3,2.0
12606 Palfrey Dr,2005,16,2637,4,3.0
6802 Bayridge Ter,1982,39,3075,4,3.0
4329 Ganymede Dr,1983,38,1978,3,2.0
7600 Baja Cv,1995,26,3516,4,4.0
13568 Anarosa Loop,1996,25,1961,3,2.0
5806 Rain Creek Pkwy,1983,38,2549,4,2.0
12328 Marogot Run,1984,37,1092,3,2.0
2206 Rick Whinery Dr,1993,28,2008,3,3.0
4403 Ganymede Dr,1983,38,1850,4,3.0
14919 Alpha Collier Dr,1983,38,2091,4,2.0
2221 Margalene Way,1985,36,1179,3,2.0
4006 Eton Ln,1979,42,1941,3,2.0
14506 Donald Dr,1984,37,1184,3,2.0
7528 Fireoak Dr,1994,27,2412,3,3.0
12720 Council Bluff Dr,1997,24,1673,3,2.0
12209 Scribe Dr,1978,43,1406,3,2.0
2100 Rick Whinery Dr,1986,35,1666,4,2.0
12303 Cabana Ln,1983,38,1883,3,3.0
3200 Spaniel Dr,1978,43,1503,3,2.0
15637 Ecorio Dr,1999,22,1678,3,2.0
12316 Danny Dr,1978,43,1426,3,2.0
12324 Danny Dr,1978,43,1532,3,2.0
4405 Columbine Dr,1997,24,1946,3,3.0
14905 Jacks Pond Rd,1998,23,2166,4,2.0
12322 Cedarspur Rd,1984,37,1065,3,2.0
4303 Cavern Springs Rd,1983,38,1910,3,2.0
14213 Anita Marie Ln,1984,37,1115,3,2.0
4509 Columbine Dr,1998,23,1678,3,2.0
2306 Klattenhoff Dr,1984,37,1074,3,2.0
2317 N Shields Dr,1992,29,2398,3,3.0
2104 Margalene Way,1984,37,1427,3,2.0
2104 Fuzz Fairway,1992,29,2095,3,2.0
2100 Margalene Way,1986,35,1163,3,2.0
3104 Wavecrest Blvd,1998,23,1835,3,2.0
3012 Wavecrest Blvd,1998,23,2045,4,2.0
2109 Haas Ln,1985,36,2195,4,2.0
2210 Emmett Pkwy,1992,29,2027,4,2.0
2208 Emmett Pkwy,1992,29,1903,3,3.0
14550 Robert I Walker Blvd,1984,37,1183,3,3.0
2136 Cervin Blvd,1983,38,1200,3,2.0
15600 Sambuca Cir,1996,25,1733,3,2.0
2128 Cervin Blvd,1983,38,1424,3,2.0
2113 Delvin Ln,1984,37,1473,3,2.0
2120 Cervin Blvd,1983,38,1222,3,2.0
15523 Crissom Ln,1997,24,1772,3,3.0
15020 Jacks Pond Rd,1999,22,2384,4,3.0
2104 Castle View Dr,1984,37,1355,3,2.0
14575 Robert I Walker Blvd,1984,37,1156,3,2.0
2004 Tasmanian Tiger Trce,2018,3,1474,3,2.0
3204 Raging River Dr,1998,23,2045,3,2.0
14600 Town Hill Dr,1985,36,1377,3,2.0
3012 Raging River Dr,1997,24,2416,4,3.0
2139 Surrender Ave,1986,35,1803,3,2.0
14300 Weldon Ln,1986,35,2080,3,2.5
14305 Richard Walker Blvd,1985,36,2056,3,3.0
2607 Water Well Ln,1983,38,1455,3,2.0
14306 Weldon Ln,1985,36,1698,3,2.5
2012 Ploverville Ln,1984,37,1384,3,2.0
14308 Weldon Ln,1985,36,2500,3,3.0
14913 Jacks Pond Rd,1997,24,1704,3,2.0
2904 Sand Dollar Dr,1997,24,2162,3,2.0
2010 Cervin Blvd,1985,36,1746,3,3.0
2809 Sydney Dr,1995,26,1367,3,2.0
2813 Sydney Dr,1995,26,1634,3,2.0
2817 Sydney Dr,1995,26,2104,4,3.0
2101 Klattenhoff Dr,1983,38,2290,3,2.0
2821 Sydney Dr,1995,26,1723,3,3.0
2110 Emmett Pkwy,1992,29,3047,4,3.0
3605 Ruby Red Dr,1996,25,1657,3,2.0
2102 Emmett Pkwy,1996,25,1522,3,2.0
14312 Terisu Ln,1985,36,2036,4,3.0
1910 Terisu Cv,1985,36,2051,3,3.0
2202 Klattenhoff Dr,1983,38,1499,3,2.0
14801 Single Trce,1995,26,2269,4,3.0
1911 Gaylord Dr,1985,36,1632,3,2.0
2003 Gaylord Dr,1987,34,1788,3,2.0
2007 Gaylord Dr,1985,36,1500,3,3.0
15009 Babbling Brook Dr,1998,23,2172,4,3.0
14303 Weldon Ln,1985,36,1430,3,2.0
2904 Sydney Dr,1995,26,2047,4,3.0
14613 Gold Fish Pond Ave,1983,38,1908,3,2.0
14201 Weldon Ln,1985,36,2220,3,3.0
2812 Sydney Dr,1995,26,1697,3,3.0
2804 Sydney Dr,1995,26,1856,3,3.0
14704 Great Willow Dr,1983,38,1767,3,2.0
15037 Mallard Green Ln,1998,23,2238,3,2.5
15424 Quinley Dr,1994,27,2702,4,3.0
15425 Ecorio Dr,1993,28,2156,4,3.0
2800 Feathercrest Dr,1996,25,1754,3,3.0
1927 Klattenhoff Dr,1983,38,1948,3,2.0
3517 Roller Xing,2001,20,2114,3,3.0
15410 Ecorio Dr,1993,28,2174,4,2.5
15414 Ecorio Dr,1993,28,2219,4,3.0
15405 Ozone Pl,1994,27,2499,4,3.0
3121 Wavecrest Blvd,1997,24,1810,3,2.0
3404 Kissman Dr,1997,24,1607,3,2.0
15321 Ozone Pl,1994,27,2326,5,2.5
14917 Alpha Collier Dr,1983,38,1774,3,2.0
14907 Alpha Collier Dr,1983,38,1605,3,2.0
15300 Ozone Pl,1993,28,2512,4,3.0
15020 Haley Holw,1998,23,1862,3,2.0
3604 Texas Topaz Dr,1998,23,2090,3,3.0
15028 Haley Holw,1996,25,2262,4,2.0
2009 Cervin Blvd,1985,36,1395,3,2.0
15032 Haley Holw,1998,23,1744,3,2.0
14812 Single Trce,1995,26,1328,3,2.0
2013 Cervin Blvd,1985,36,1445,4,2.0
15052 Haley Holw,1997,24,1744,3,2.0
2027 Cervin Blvd,1983,38,1445,3,2.0
2107 Cervin Blvd,1983,38,1364,3,2.0
3100 Feathercrest Dr,1995,26,1808,4,3.0
1902 Tasmanian Tiger Trce,2017,4,1779,3,3.0
2117 Cervin Blvd,1983,38,1418,3,2.0
15524 Ecorio Dr,1995,26,2020,3,2.0
14710 Montoro Dr,1994,27,1416,3,2.0
3307 Brillen Stone Ln,2019,2,1646,3,2.0
3305 Bratton Heights Dr,1998,23,2007,3,3.0
2009 Surrender Ave,1985,36,1897,3,3.0
14707 Noya Dr,1994,27,1651,3,2.0
2103 Surrender Ave,1985,36,1395,3,3.0
14712 Noya Dr,1995,26,1417,3,2.0
2115 Surrender Ave,1985,36,1670,3,2.0
2312 Spring Wagon Ln,1983,38,1304,3,2.0
14804 Endicott Dr,1985,36,2246,4,3.0
5712 Rain Creek Pkwy,1982,39,2318,3,2.0
6502 Skinner Cv,2002,19,2362,3,2.0
7701 Danwood Dr,1974,47,1654,4,2.0
8110 Pilgrims Pl,1981,40,1969,4,3.0
7309 Ellaview Ln,2000,21,3694,4,4.0
7304 Sage Oak Trl,1984,37,2763,3,3.0
11412 Charred Oak Dr,1981,40,1900,4,2.0
10709 Oak View Dr,1985,36,2533,4,3.0
7329 Ellaview Ln,2000,21,3880,5,5.0
6713 Rustling Oaks Trl,1975,46,1929,3,2.0
11726 D K Ranch Rd,1979,42,2327,4,2.0
5805 Painted Valley Dr,1983,38,2354,4,2.0
7501 Fireoak Dr,1994,27,3892,5,4.0
7408 Rain Creek Pkwy,1991,30,2719,4,3.0
7400 Rain Creek Pkwy,1992,29,2066,4,2.0
13110 Staton Dr,1992,29,1084,2,1.0
1901 Maize Bend Dr,2002,19,2239,3,3.0
1909 Maize Bend Dr,2002,19,2100,3,2.0
12701 Rampart St,1982,39,1433,3,2.0
1624 Maize Bend Dr,2001,20,2520,3,3.0
1604 Maize Bend Dr,2002,19,1718,3,2.0
1509 Braided Rope Dr,1993,28,2272,3,2.0
1904 Metairie Cir,1982,39,1099,3,2.0
13535 Wyoming Valley Dr,2001,20,2480,3,3.0
1911 Creole Dr,1999,22,2808,4,3.0
1909 Scofield Ln,1982,39,1384,3,2.0
13007 Widge Dr,1986,35,1318,3,2.0
13005 Widge Dr,1986,35,928,3,2.0
2127 Elysian Flds,1979,42,1289,3,2.0
13008 Irongate Cir,1977,44,1182,3,2.0
1724 Maize Bend Dr,2002,19,2319,3,3.0
12317 Cedar Bend Cv,2014,7,2511,3,3.0
13011 Broughton Way,1992,29,2174,4,3.0
13009 Broughton Way,1986,35,2197,3,2.0
12802 Staton Dr,1985,36,1292,3,3.0
12909 Staton Dr,1986,35,1318,3,2.0
13508 Campesina Dr,2001,20,2518,5,3.0
1932 Creole Dr,1999,22,2293,3,2.0
1408 Tamar Ln,1996,25,2200,4,3.0
1824 Creole Dr,1999,22,1961,3,2.0
13217 Armaga Springs Rd,1998,23,2080,4,2.0
1832 Chasewood Dr,1999,22,3471,4,3.0
12906 Irongate Ave,1977,44,1596,3,3.0
13528 William Kennedy Dr,2004,17,2050,3,2.0
1906 Scofield Ln,1982,39,1844,3,3.0
1902 Scofield Ln,1982,39,1100,3,2.0
12802 Esplanade St,1981,40,1808,4,3.0
13010 Rampart St,1982,39,1331,4,2.0
13501 Metric Blvd UNIT 44,2018,3,1689,2,3.0
12910 Lamplight Village Ave,1977,44,1761,3,2.0
13625 Campesina Dr,2000,21,2015,3,3.0
12921 Tapadero Dr,1996,25,2855,4,3.0
12914 Lamplight Village Ave,1977,44,1370,3,2.0
13243 Armaga Springs Rd,1996,25,2109,4,2.0
12913 Tapadero Dr,1995,26,2998,4,3.0
12905 Tapadero Dr,1995,26,3010,4,3.0
13005 Irongate Ave,1977,44,1398,3,2.0
1907 Burgundy Cv,1982,39,1388,3,3.0
1504 Tapadero Ct,1996,25,3042,4,3.0
1701 Maize Bend Dr,2001,20,2173,4,2.0
1809 Camino Viejo,2014,7,3023,5,3.0
13202 Billiem Dr,1985,36,1434,3,3.0
13204 Billiem Dr,1985,36,1314,3,2.0
13213 Rampart St,1983,38,1670,4,2.0
1919 Dapplegrey Ln,1995,26,2800,4,3.0
1812 Camino Viejo,2011,10,3698,5,5.0
13420 Anacapo Cv,1997,24,2697,4,3.0
1900 Magazine St,1982,39,1337,3,2.0
1324 Braided Rope Dr,1994,27,2636,4,2.0
1900 Dauphine Cv,1983,38,1228,3,2.0
1903 Dauphine Cv,1983,38,1562,3,3.0
1900 Rampart Cir,1981,40,1769,3,2.0
1907 Dauphine Cv,1982,39,1212,3,2.0
13023 Scofield Farms Dr,1997,24,2864,5,3.0
13017 Scofield Farms Dr,1996,25,2911,3,3.0
13210 Rampart St,1982,39,1258,3,2.0
13526 Lamplight Village Ave,1997,24,2173,3,2.0
1903 Magazine St,1982,39,1517,3,2.0
13429 Equestrian Cv,1995,26,2100,3,2.0
13421 Equestrian Cv,1996,25,2706,4,3.0
12919 Scofield Farms Dr,1995,26,2528,4,3.0
13201 Bourbon St,1979,42,1585,3,2.0
13100 Elysian Fields Cv,1983,38,1462,3,3.0
2009 Magazine St,1983,38,1682,4,2.0
2201 Equestrian Trl,1998,23,2813,4,3.0
2512 Avenue N,2003,18,2195,3,2.0
1521 Visalia Ln,1993,28,2095,4,2.0
13107 Elysian Fields Cv,1983,38,1309,3,2.0
13208 Bourbon St,1979,42,1294,3,2.0
1823 Montana Sky Dr,2000,21,2409,4,3.0
1501 Cutting Horse Ln,1995,26,1864,3,2.0
2203 Broughton Ct,1991,30,2424,3,3.0
2207 Broughton Ct,1987,34,2240,3,3.0
12501 Lamppost Ln,1976,45,1400,3,2.0
13206 Lamplight Village Ave,1979,42,1128,3,2.0
13208 Lamplight Village Ave,1979,42,1123,3,2.0
2103 Elysian Flds,1979,42,976,2,2.0
1540 Visalia Ln,1994,27,2425,3,3.0
12320 Cedar Bend Cv,2020,1,2908,4,4.0
12800 Lamppost Ln,1977,44,1739,3,2.0
12801 Lamplight Village Ave,1977,44,2329,4,3.0
1910 Magazine St,1982,39,1212,3,2.0
1501 Visalia Ln,1993,28,2095,4,2.0
13505 Wyoming Valley Dr,2001,20,2080,4,2.0
13323 Kinder Pass,1999,22,2311,4,3.0
1509 Visalia Ln,1993,28,2425,4,3.0
13102 Staton Dr,1992,29,1043,3,2.0
13339 Kinder Pass,1999,22,2173,3,2.0
12713 Cinchring Ln,1993,28,2095,4,2.0
13409 Kinder Pass,1999,22,2100,3,2.0
13421 Kinder Pass,1999,22,2018,3,2.0
12306 Knoll Ridge Dr,1970,51,1670,3,2.0
13504 Lathe Cv,2001,20,2456,4,3.0
1337 Braided Rope Dr,1994,27,2553,4,2.0
1713 Lynnville Trl,2001,20,2058,3,3.0
13409 Campesina Dr,2001,20,2319,4,3.0
12745 Withers Way,1995,26,1705,3,2.0
1363 Braided Rope Dr,1994,27,2210,3,2.0
1401 Braided Rope Dr,1995,26,2474,3,3.0
1421 Braided Rope Dr,1995,26,3290,5,3.0
12301 Cedar Bend Cv,2019,2,2619,4,4.0
1903 Dumaine Cir,1982,39,1235,3,2.0
12406 Bluestone Cir,1972,49,2497,5,3.0
13100 Bourbon St,1979,42,1225,3,2.0
1745 Dapplegrey Ln,1995,26,2192,3,3.0
13213 Calf Roping Trl,1998,23,1723,3,2.0
2003 Scofield Ln,1979,42,1612,3,2.0
1215 Oak Shadows Cir,1972,49,1749,3,2.0
2007 Scofield Ln,1979,42,1334,3,2.0
1509 Dapplegrey Ln,1993,28,2847,4,3.0
1857 Dapplegrey Ln,1995,26,1958,3,2.0
1861 Dapplegrey Ln,1995,26,2109,4,2.0
2301 Rodeo Dr,1996,25,2173,3,2.0
1406 Dapplegrey Ln,1994,27,2906,4,3.0
2321 Rodeo Dr,1995,26,2905,4,3.0
1400 Dapplegrey Ln,1995,26,3010,4,3.0
12911 Irongate Ave,1977,44,1293,3,2.0
1301 Cardinal Hill Cir,1984,37,2215,4,4.0
13501 Metric Blvd UNIT 18,2018,3,1689,2,3.0
12329 Blue Water Dr,1969,52,2182,4,2.0
12325 Blue Water Dr,1985,36,2149,3,2.0
2616 Briana Shay Dr,2004,17,1683,3,2.0
12608 Pony Ln,1993,28,3386,5,4.0
1730 Chasewood Dr,2000,21,1863,3,2.0
1732 Dapplegrey Ln,1995,26,1595,3,2.0
13318 Glacier Falls Ct,1999,22,2387,4,3.0
13501 Metric Blvd UNIT 28,2018,3,1689,2,3.0
12503 Lamppost Ln,1976,45,1361,3,2.0
12313 Knoll Ridge Dr,1975,46,1983,3,2.0
12333 Cedar Bend Cv,2011,10,2870,4,3.0
1405 Cardinal Hill Dr,1972,49,2181,4,2.0
12616 Picket Rope Ln,1993,28,2095,4,2.0
13107 Kirkglen Dr,1999,22,3390,5,4.0
12912 Powderhorn St,1979,42,1179,3,2.0
12407 Blue Water Cir,1970,51,1822,3,2.0
12802 Turkey Run,1979,42,1319,3,2.0
12820 Withers Way,1994,27,2016,3,2.0
12601 Cinchring Ln,1993,28,2222,4,2.0
1705 Shag Bark Trl,1977,44,2961,4,2.0
1712 Quarter Boot Cv,1997,24,2008,4,2.0
2505 Lou John St,2004,17,3424,5,4.0
13150 Bayfield Dr,1998,23,4530,5,4.0
13009 Lamplight Village Ave,2001,20,1663,4,3.0
12835 Meehan Dr,1985,36,1471,4,3.0
12831 Meehan Dr,1985,36,1102,3,2.0
2128 Elysian Flds,1980,41,1254,3,2.0
13712 Ann Pl,1979,42,1819,3,2.0
12400 Willow Wild Dr,1977,44,1760,3,2.0
12404 Willow Wild Dr,1977,44,1831,3,2.0
2013 Elysian Flds,1979,42,1659,3,2.0
13001 Powderhorn St,1979,42,1443,3,2.0
2810 Nueces St APT 101,1981,40,567,1,1.0
2413 Leon St APT 104,1963,58,771,2,1.0
1115 W 10th St APT 100,1972,49,681,1,1.0
1003 E 14th St,2018,3,2218,3,3.0
1173 Navasota St,2013,8,1565,3,3.0
1911 Robbins Pl,1937,84,1543,3,1.0
360 Nueces St APT 2010,2008,13,770,1,1.0
1011 W 23rd St APT 103,1972,49,450,1,1.0
2311 Nueces St APT 304,1981,40,613,1,1.0
2205 N Lamar Blvd UNIT 323,2007,14,985,1,1.0
1201 Castle Hill St APT 102,1984,37,1304,2,2.0
360 Nueces St APT 1208,2008,13,732,1,1.0
505 W 7th St APT 320,1964,57,1033,2,2.0
305 E 31st St APT 2,2009,12,1147,3,3.0
1013 Juniper St,2016,5,2836,4,5.0
713 E 32nd St,1939,82,1932,3,2.0
1100 Castle Ct,1927,94,2198,3,2.75
1006 Gaston Ave,1939,82,3336,3,3.0
2510 San Gabriel St APT 203,1984,37,705,2,2.0
1905 San Gabriel St APT 205,1981,40,509,2,1.0
411 Brazos St APT 220,1925,96,2697,3,3.0
907 Duncan Ln APT 201,2006,15,795,1,1.0
1210 Windsor Rd APT 216,1960,61,600,1,1.0
1005 Blanco St,1920,101,1132,2,2.0
555 E 5th St APT 2729,2004,17,2099,2,3.0
1216 Inks Ave,1966,55,1267,3,2.0
826 Harris Ave,1939,82,2684,4,2.0
1207 E 9th St,1949,72,560,1,1.0
1205 E 9th St,1919,102,2040,3,2.0
3309 Hampton Rd,1932,89,2256,4,3.0
1310 Bob Harrison St,1914,107,1578,2,2.0
904 W 21st St APT 214,1982,39,880,2,2.0
2408 Pemberton Pkwy,1960,61,1725,3,2.0
908 Keith Ln,2003,18,3075,6,3.0
1310 E 13th St,2016,5,2134,4,3.0
708 Graham Pl APT 206,1982,39,605,2,2.0
1106 Myrtle St,2018,3,2800,3,3.0
706 W 22nd St APT 306,1982,39,728,2,1.0
904 Catalpa St UNIT A,2017,4,1955,3,3.0
1165 Curve St,2019,2,2295,4,4.0
902 E 13th St #B,1953,68,948,3,1.0
1205 Enfield Rd,1920,101,2250,3,3.0
2703 Swisher St APT 201A,1973,48,774,2,1.0
907 W 18th St,1939,82,3137,5,4.0
1207 W 12th St,1924,97,2383,3,3.0
3206 Beanna St #B,2016,5,3290,4,5.0
1307 E 13th St,2018,3,2215,4,3.0
1159 Curve St,2019,2,2809,4,5.0
1184 Navasota St,1930,91,1417,3,2.0
1210 Windsor Rd APT 104,1960,61,1085,2,2.0
1807 San Gabriel St APT A,1984,37,1964,2,3.0
1309 Waller St,2006,15,2046,3,3.0
1307 Waller St,2006,15,2324,3,3.0
1502 Waller St,2018,3,869,3,0.0
3201 Beanna St,1956,65,1586,3,2.0
803 E 32nd 1/2 St,1956,65,900,2,2.0
907 E 13th St,1910,111,1059,2,1.0
2213 E Windsor Rd,1934,87,3649,4,5.0
1511 Oak Heights Dr #2,2020,1,1022,2,3.0
2004 Alta Vista Ave,2015,6,2589,3,3.0
1117 Woodland Ave,1940,81,1606,3,2.0
1104 Reagan Ter,1941,80,3113,3,3.0
1501 Alameda Dr,1938,83,2511,3,3.0
1318 Newning Ave APT C,2006,15,1465,2,2.5
1604 Eva St,1947,74,2706,3,3.0
1401 Eva St #303,2007,14,972,1,2.0
1700 Willow St,1909,112,1200,2,2.0
1805 Alameda Dr,1933,88,2691,4,3.0
1401 Eva St #206,2007,14,972,1,2.0
301 Navasota St,1974,47,1120,2,1.0
800 Rosedale Ter UNIT B,2014,7,1566,3,3.0
1402 E 3rd St,1928,93,1328,2,1.0
1702 Kenwood Ave,2017,4,2201,3,4.0
1717 E Cesar Chavez St,1916,105,2318,4,3.0
1701 Alta Vista Ave,1941,80,3174,4,3.0
