streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
8000 Izetta Ln,2015,6,1982,3,3.0
14324 Deaf Smith Blvd,2015,6,2047,4,2.0
12600 Alberta Ridge Trl,2002,19,3976,5,4.0
12504 Tierra Grande Trl,2009,12,1943,4,2.0
12209 Labrador Bay Ct,2012,9,3689,4,4.0
9307 Springwood Dr,1972,49,3650,4,4.0
7100 Rusty Fig Dr,1985,36,2498,4,3.0
6307 Ayres Dr,1990,31,4771,5,4.0
1603 Olympus Dr,1990,31,2929,4,3.0
12500 Tierra Grande Trl,2010,11,3348,5,4.0
14201 Canyon Trl,2009,12,1746,3,2.0
14207 Vandever St,1986,35,1589,4,2.0
5909 Alsace Trl,2005,16,1190,3,2.0
7300 Colina Vista Loop #A,2013,8,2299,4,3.0
2516 Ionian Cv,2012,9,4380,4,4.0
1601 Olympus Dr,1994,27,2066,3,3.0
15102 Chamberlain Ct,2005,16,1704,3,3.0
15509 Staked Plains Loop,2008,13,2960,4,3.0
13807 Panorama Dr,2006,15,4500,5,5.0
4506 Senda Ln,2013,8,1250,2,2.5
9626 Dalewood Dr,1997,24,2084,3,3.0
10909 Gaillardia,2009,12,4743,5,5.0
4404 Sojourner St,1987,34,1419,3,2.0
12609 Belcara Pl,2007,14,3297,4,4.0
2301 Far Gallant Dr,2000,21,4637,4,4.0
13408 Bullick Hollow Rd,2006,15,1649,3,2.0
7912 Yokohama Ter,2020,1,2766,4,3.0
10404 Loring Dr,1984,37,2698,4,3.0
4801 High Gate Dr,2002,19,4407,4,6.0
6810 Comanche Trl,1995,26,2731,3,4.0
5412 Ingersoll Ln,2015,6,1448,3,2.0
11720 Prado Ranch Blvd,2018,3,1370,3,2.0
108 Piedmont Hills Pass,2012,9,4056,4,4.0
11407 Costakes Dr,1982,39,3542,4,4.0
13605 Coleto Creek Trl,2007,14,4631,5,5.0
6304 Lakewood Holw,1980,41,1490,3,2.0
9512 Southwick Dr,2014,7,1510,3,2.0
2105 Far Gallant Dr,1998,23,4707,5,6.0
14531 Ridgetop Ter,2002,19,4147,4,4.0
4400 Belfield Ln,2012,9,1598,3,3.0
7105 Cherry Beam Path,2016,5,2515,4,3.0
11701 Garden Grove Dr,2000,21,2304,4,2.0
12301 Edenvale Path,2010,11,3458,4,4.0
9003 Bayshore Bnd UNIT 17,2017,4,3013,4,4.0
4900 Elizabeth Jane Ct,2000,21,4620,5,4.0
4616 Esper Ln,2015,6,1321,3,3.0
10916 River Terrace Cir,1965,56,986,2,1.0
6621 Mesa Hollow Dr,1994,27,2137,3,2.0
7216 Cherry Beam Path,2016,5,2073,3,3.0
6328 Ayres Dr,1990,31,4142,4,4.0
9300 Springwood Dr,1972,49,2581,4,2.0
15313 Knighten Ln,2016,5,1405,3,2.0
14020 Lake View Dr,2006,15,2895,3,3.0
1700 Canyon Edge Dr,1994,27,2648,4,3.0
5911 Long Ct,1999,22,3958,4,4.0
14101 Willow Tank Dr,2009,12,1730,3,3.0
7720 Vista Mejor Dr,2018,3,2177,4,3.0
9702 Grand Oak Dr,1985,36,2338,3,2.0
2320 Elara Dr,2013,8,1452,3,2.0
5121 Bantom Woods Bnd,2008,13,1762,4,2.0
7105 Mountain Trl,1991,30,2162,3,3.0
1701 Chalk Rock Cv,2007,14,3436,4,3.0
6906 Agave Cv,1984,37,2927,4,4.0
11511 Brandon Parke Trl,2002,19,3254,5,3.0
2412 Kale Dr,2009,12,1776,5,3.0
13212 Coleto Creek Trl,2007,14,4952,4,4.0
1102 Lipan Trl,2020,1,1850,3,2.0
5505 Lakemoore Dr,1962,59,1707,3,2.0
7011 Mountain Trl,1987,34,2667,3,3.0
11512 Brandon Parke Trl,2002,19,3282,4,3.0
7205 Garnet Mill Ln,2016,5,2275,4,3.0
1108 Marly Way,2020,1,4941,5,0.0
5721 Alsace Trl,1980,41,1320,3,2.0
7604 Crossmeadow Dr,1968,53,2667,4,3.0
10600 Beckwood Dr,1991,30,2829,4,3.0
7001 Garnet Mill Ln,2017,4,2519,3,3.0
533 Santaluz Path,2012,9,4219,4,6.0
3505 Native Dancer Cv,1984,37,3693,4,4.0
14921 Arizona Oak Ln,2003,18,1650,3,2.0
5717 Alsace Trl,1980,41,939,2,1.0
14300 Tyburn Trl,2015,6,3021,4,3.0
5626 Parade Rdg,1985,36,2474,3,3.0
7921 Davis Mountain Pass,2004,17,3422,4,4.0
10202 Lockleven Cv,1984,37,2567,4,4.0
12801 Wooded Lake Ct,2007,14,4060,4,5.0
2104 Island Wood Rd,1985,36,4919,4,5.0
4604 Sojourner St,1987,34,1419,3,2.0
11109 Persimmon Gap Dr,2008,13,2234,3,3.0
1600 Caballo Blanco Rd,2017,4,1491,3,2.0
2000 Canonero Dr,1994,27,4700,5,5.0
10602 Beckwood Dr,1988,33,2710,4,4.0
13545 Bullick Hollow Rd,1975,46,1656,2,2.0
216 Mediterra Point,2008,13,2717,4,3.0
2024 Wimberly Ln,2005,16,4615,4,4.0
14920 Truman Oak Cv,2013,8,1749,4,2.0
11404 Fletcher Hall Ln,2003,18,1970,3,3.0
5614 Parade Rdg,1995,26,1644,3,2.0
8113 Davis Mountain Pass,1989,32,2871,4,3.0
