zpid,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
29344931,1985,36,4919,4,5.0
29459853,1987,34,1419,3,2.0
89663390,2008,13,2234,3,3.0
145654553,2017,4,1491,3,2.0
29341408,1994,27,4700,5,5.0
241936631,2016,5,1349,3,2.0
29376445,1988,33,2710,4,4.0
29373139,1975,46,1656,2,2.0
83124879,2008,13,2717,4,3.0
70336928,2005,16,4615,4,4.0
70338352,2013,8,1749,4,2.0
88014884,2003,18,1970,3,3.0
29351440,1995,26,1644,3,2.0
29370832,1989,32,2871,4,3.0
29368445,1985,36,3114,4,3.0
125158378,2015,6,3393,4,4.0
70338351,2013,8,1550,4,3.0
29342428,1979,42,1848,3,2.0
125792770,2015,6,2953,4,3.0
29355939,1960,61,1600,0,0.0
29343407,1983,38,4269,4,5.0
88013884,2005,16,2256,3,3.0
29368633,1995,26,2415,4,2.0
29374944,1993,28,2455,5,3.0
83824877,2006,15,4589,4,5.0
249891260,2018,3,2766,4,4.0
29344906,1986,35,3009,4,4.0
29351438,1995,26,1456,2,2.0
29342427,1985,36,2094,3,3.0
29368632,1992,29,2051,3,2.0
29396897,2004,17,1200,3,2.0
29372944,1999,22,3962,4,4.0
83124877,2008,13,3323,4,3.0
63837777,2004,17,1278,3,2.0
29461349,1998,23,1662,3,2.0
70336926,2011,10,3983,4,4.0
119984117,2013,8,2413,3,3.0
58298435,1980,41,1799,3,2.0
29368631,1993,28,2761,3,3.0
29343404,1983,38,5865,4,5.0
111373376,2011,10,2972,4,4.0
29376441,1991,30,2580,4,2.0
145656010,2017,4,1496,3,2.0
241936613,2016,5,2112,4,3.0
29342426,1984,37,1499,3,2.0
29351434,1991,30,2519,3,3.0
251030758,2017,4,2360,3,3.0
29368608,1993,28,4263,4,5.0
89551873,2014,7,13731,5,10.0
125792898,2015,6,3895,4,4.0
83827393,2012,9,1221,3,2.0
89551502,2010,11,1420,3,2.0
29374438,1975,46,2904,4,4.0
29342422,1978,43,1406,3,2.0
70331933,2006,15,4237,4,4.0
29368601,1989,32,3165,5,3.0
80104872,2008,13,2045,3,2.0
58298431,1981,40,1359,2,2.0
144176918,1962,59,1780,3,3.0
241936608,2016,5,2432,4,3.0
29368594,1993,28,3328,5,4.0
29375933,1978,43,3451,4,3.0
29357371,1988,33,3020,5,4.0
29344897,1981,40,2812,3,3.0
70336913,2005,16,3294,4,3.0
64505930,2002,19,3764,3,4.0
64737390,2006,15,1511,3,3.0
88019366,2005,16,1884,3,3.0
241936607,2016,5,1359,3,2.0
29374432,1976,45,2526,3,3.0
29368593,2000,21,3274,4,4.0
249891254,2017,4,1754,3,2.0
29357369,1983,38,2944,3,3.0
120898908,2012,9,3029,4,4.0
79981846,2009,12,1236,4,2.0
29376431,1990,31,3346,5,4.0
29343397,1984,37,4700,5,6.0
29358974,1982,39,2728,4,3.0
111371886,2014,7,2491,5,3.0
29368581,1993,28,2495,4,2.0
79980405,2006,15,9368,5,6.0
83124867,2008,13,3358,4,4.0
29339395,2013,8,5506,5,7.0
70992361,2006,15,1985,3,2.5
80104386,2007,14,1761,4,2.0
63835340,2003,18,1326,3,2.0
29357366,2013,8,3700,5,4.0
29372930,1984,37,2846,4,3.0
29368548,1999,22,3884,5,4.0
67415405,1987,34,3076,4,3.0
29353930,1985,36,2068,3,2.0
88019360,2007,14,2708,4,3.0
29459839,1989,32,1895,4,3.0
29363429,1996,25,2898,3,3.0
80104364,2011,10,4597,4,5.0
249891249,2017,4,1916,3,2.0
249891101,2019,2,2193,4,3.0
29368546,1999,22,2538,3,2.0
63835337,2003,18,1952,4,3.0
29341393,2005,16,5261,5,4.0
29566857,1980,41,1723,3,2.0
111372714,2012,9,4559,5,4.0
29376426,1989,32,2635,5,4.0
29363428,1996,25,3574,4,4.0
29342404,1979,42,2110,3,3.0
29368532,1996,25,2622,4,3.0
251030097,2017,4,1580,3,2.0
29459837,1996,25,1405,3,2.0
83815356,2005,16,7158,6,7.0
58298927,1983,38,1096,2,2.0
29396879,2017,4,2837,4,3.0
29368531,1990,31,3379,4,4.0
29343391,1983,38,4840,4,4.0
70352403,2010,11,4150,5,4.0
29375925,1976,45,2826,4,3.0
80104481,2008,13,4549,5,6.0
2079519189,2020,1,1863,4,2.0
29363427,1995,26,2489,4,3.0
70992349,2007,14,2030,3,3.0
249891244,2017,4,2942,4,4.0
29341389,1991,30,3724,5,5.0
90240400,2005,16,4616,5,4.0
249912947,2017,4,2874,4,3.0
29395366,1984,37,1531,4,3.0
88023347,2004,17,2792,3,3.0
251034742,2019,2,2502,3,3.0
58298426,1978,43,1747,3,2.0
29348387,1997,24,4496,3,4.0
70330400,2017,4,5650,5,7.0
251032578,2017,4,1695,3,2.0
29368530,1992,29,2484,4,3.0
111372365,2014,7,1650,3,2.0
111973229,2001,20,1178,3,2.0
83830838,2004,17,6698,6,6.0
70992346,2006,15,1985,3,3.0
89550899,2010,11,3058,4,3.0
29344884,1999,22,4800,3,5.0
29374423,1976,45,3205,4,3.0
29368568,1999,22,3522,5,5.0
241931861,2018,3,2470,3,3.0
121657728,2013,8,1426,3,2.0
29358926,1982,39,3078,4,3.0
249891240,2017,4,1976,3,2.0
55299492,2001,20,4417,4,6.0
80104336,2009,12,1947,3,2.0
70352400,2011,10,3335,4,4.0
29341382,1989,32,3649,4,5.0
251030552,2017,4,2112,4,3.0
29374422,1979,42,2537,4,3.0
70992345,2007,14,1815,3,3.0
83818357,2007,14,1347,3,2.0
29462725,2000,21,1726,3,3.0
29351423,1984,37,2848,3,4.0
29461328,1998,23,1692,3,2.0
29340878,1999,22,3852,4,4.0
55299490,2011,10,3750,4,3.0
70352399,2010,11,4172,5,4.0
29395357,1975,46,1116,4,2.0
29462724,2000,21,1476,3,3.0
29372422,1985,36,2220,3,2.0
29340875,1996,25,3652,4,4.0
29368517,1988,33,2949,4,3.0
83823333,2007,14,4326,5,6.0
145657233,2015,6,1844,3,3.0
55299488,2001,20,3371,4,4.0
70992340,2006,15,2126,3,3.0
120900046,2013,8,1652,3,2.0
70345723,2005,16,1569,3,3.0
70336899,2009,12,3883,5,4.0
83833421,2006,15,4808,4,4.0
