zpid,latest_saleyear,latestPrice
29344612,2019,3495000
125918097,2020,262000
94641643,2018,850000
29370338,2018,479500
29343783,2019,475000
70326602,2019,339000
70324757,2020,1179000
29346606,2020,2995000
29459997,2020,205000
80076874,2020,500000
121722127,2019,400000
58300337,2019,550000
79980143,2020,2408900
145658189,2019,229900
83817756,2018,1550000
251035529,2019,449900
80076872,2018,389000
29346603,2018,798000
88026125,2020,379000
145652601,2019,219000
124839587,2018,195000
29356252,2019,1099000
251028524,2020,660000
29566837,2020,340000
29340828,2019,3385000
88016124,2020,355000
64622273,2020,799000
83819142,2018,479900
80089988,2020,179900
29372336,2019,624999
29344597,2019,529000
111371135,2019,839000
29336773,2018,865000
111970996,2018,339900
251034526,2020,421635
124838251,2019,499900
70344587,2019,194900
83831657,2018,199000
2078422772,2020,895000
29344594,2018,1134000
70326592,2018,395000
145656025,2020,335000
70344584,2018,167500
70352630,2020,589000
29343489,2018,1139000
83813088,2020,223000
70344583,2020,220000
94641623,2020,1584999
145657523,2018,267500
88022108,2019,295000
29350246,2020,1995000
58311653,2018,199000
29346771,2020,795000
125903592,2019,1130000
70352622,2020,700000
29377332,2020,675000
83833584,2019,239900
29346588,2019,899000
124836616,2019,233000
29377331,2019,500000
29356245,2019,879900
241933019,2019,415000
125806578,2019,224999
29344587,2018,1475000
64872828,2018,445000
80092865,2019,769000
2080873074,2020,190000
70326582,2020,445000
29350245,2019,859000
124720518,2020,292076
70344565,2019,199000
29372826,2018,599000
29346582,2020,2649000
80075865,2019,414900
29351495,2020,429900
29345264,2020,1050000
70356608,2018,160000
70344560,2019,205000
29346581,2019,2249000
70326578,2020,369900
29372825,2019,465000
28593363,2019,625000
96634093,2020,350000
29347495,2018,895000
83821258,2019,850000
80100595,2018,214990
121655053,2018,195000
29372821,2019,559000
243292362,2020,1449000
63228478,2018,111500
29361232,2019,555000
29346757,2018,600000
2082574040,2019,240000
111371572,2020,185295
29356731,2020,895000
69809089,2018,199000
96637819,2018,399000
29343756,2019,895000
2142506230,2018,1595000
119622361,2019,689900
80093540,2019,192000
64517755,2018,599000
63838089,2019,74000
88016575,2018,429000
29375817,2019,570000
64884229,2018,975000
122187425,2018,525000
70352621,2020,715000
29336753,2020,1125000
29372817,2018,929900
70326563,2020,415000
29345252,2020,849900
83826619,2018,500000
2083758560,2020,461900
29356727,2019,1389000
83815079,2018,195000
83831530,2019,188000
29346751,2018,425000
119897068,2019,365000
29370316,2018,689900
29343581,2020,3900000
79977079,2018,185000
70344529,2018,140000
29343737,2020,219000
70992052,2020,359500
241931358,2019,589000
241933017,2018,320000
29366816,2019,672000
89546577,2019,218900
64751528,2019,619900
29344579,2018,8750000
121424443,2020,253900
29356726,2018,529900
29343735,2020,565000
111373038,2019,288000
58300314,2019,569000
79977077,2020,144900
111960857,2019,495000
241931617,2020,755000
70356027,2019,205000
67011042,2019,339900
29343576,2019,3275000
29336735,2018,799000
29554314,2018,337000
83833074,2019,194900
2146313225,2019,699000
80098038,2019,249900
251034511,2019,444297
70356026,2020,200000
119632356,2020,578400
29343573,2020,1300000
241933009,2020,400000
80103476,2020,895000
29334733,2020,800000
58298722,2018,495000
29346570,2020,2900000
70326532,2020,349500
84139856,2020,515000
241931613,2019,800000
120898730,2018,675000
241933006,2020,415000
29346568,2020,950000
29370314,2019,700000
83823613,2019,348000
79981108,2019,640000
241930567,2019,229900
29345230,2020,949900
29337999,2020,1300000
120767540,2019,310000
2090533813,2018,547000
70326530,2019,400000
80102333,2020,70000
28594352,2018,559000
80087613,2018,395000
29343373,2020,699000
119615718,2020,415000
111972040,2020,315000
70326528,2019,382000
29336725,2020,760000
89410351,2019,509000
67011039,2018,335000
70326524,2019,364979
29460013,2019,175000
124838217,2019,500000
88016036,2020,345000
145656041,2020,250000
70356011,2019,110800
83825022,2019,215000
2090493348,2019,450000
29334470,2020,1999000
29356711,2018,649900
29374813,2019,429999
70337612,2019,6200000
70342041,2020,199990
116081034,2019,645000
29397022,2019,182000
121656209,2020,365000
29343563,2020,789900
251030010,2019,235000
111371605,2018,690000
29549312,2020,399000
80104224,2020,529900
243334033,2018,362500
70326521,2018,345000
