zpid,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_saleyear,livingAreaSqFt,numOfBathrooms,numOfBedrooms,homeAge_years
29324906,78704,30.25794982910156,-97.7642822265625,2008,999900,2018,2528,3.0,3,13
29322208,78704,30.25032043457031,-97.77201080322266,2014,1499000,2020,3170,4.0,4,7
29474873,78704,30.23887062072754,-97.75736236572266,2007,725000,2018,2324,3.0,4,14
29321895,78704,30.25207328796387,-97.7602767944336,2005,1250000,2020,2559,3.0,3,16
29472612,78704,30.247358322143555,-97.7600326538086,2019,1890000,2020,3016,3.0,4,2
29474869,78704,30.23972511291504,-97.75741577148438,2019,498850,2020,907,3.0,2,2
124835862,78704,30.23850250244141,-97.76793670654295,2014,325000,2020,945,1.0,1,7
29474703,78704,30.240079879760746,-97.77288055419922,1982,475000,2018,1560,2.0,4,39
29473361,78704,30.245302200317383,-97.75939178466795,2002,570000,2019,2245,3.0,3,19
29473699,78704,30.24277877807617,-97.78564453125,1955,525000,2018,1594,2.0,3,66
121657860,78704,30.24825859069824,-97.760986328125,2013,749900,2020,1555,3.0,2,8
29476360,78704,30.237232208251964,-97.7618408203125,1959,445000,2019,1251,1.0,3,62
29473694,78704,30.243785858154297,-97.78524017333984,1956,728000,2020,1536,2.0,4,65
29473354,78704,30.24419593811035,-97.75984191894533,1950,700000,2019,1260,2.0,4,71
241938483,78704,30.24458694458008,-97.77560424804688,2016,620000,2018,1886,4.0,3,5
29322349,78704,30.250585556030284,-97.76998901367188,2019,1295000,2019,2678,4.0,3,2
58312187,78704,30.243595123291016,-97.77423095703124,2001,649990,2020,1676,2.0,3,20
29473346,78704,30.24506378173828,-97.76021575927734,2012,1250000,2019,2389,3.0,3,9
29473686,78704,30.24489402770996,-97.78561401367188,2005,595000,2019,2208,2.0,3,16
29473342,78704,30.244592666625977,-97.7607192993164,1946,980000,2020,1944,3.0,3,75
29473685,78704,30.244712829589844,-97.78549194335938,1958,699850,2018,2577,3.0,5,63
29474839,78704,30.23869323730469,-97.75862121582033,1915,1325000,2020,2756,3.0,4,106
29473331,78704,30.24287414550781,-97.7609405517578,1955,474900,2020,960,2.0,2,66
29476814,78704,30.237567901611328,-97.77005767822266,1961,569000,2020,1357,2.0,3,60
58312184,78704,30.24340438842773,-97.77387237548828,2001,769000,2020,2374,3.0,4,20
29475181,78704,30.23884010314941,-97.78154754638672,1985,765000,2019,2376,0.0,0,36
29474793,78704,30.2437686920166,-97.78325653076172,1955,825000,2020,1586,2.0,3,66
29474960,78704,30.237394332885746,-97.76676177978516,2017,1935000,2020,3280,5.0,5,4
29474679,78704,30.23881149291992,-97.77298736572266,1961,399999,2019,897,1.0,3,60
2085599673,78741,30.24043273925781,-97.77262115478516,2018,579000,2019,1775,4.0,3,3
29472801,78704,30.24626922607422,-97.76954650878906,1947,335000,2019,560,1.0,1,74
2078177669,78704,30.241905212402344,-97.77781677246094,2015,825000,2020,1868,3.0,3,6
29474669,78704,30.23822784423828,-97.77399444580078,1963,435000,2018,1214,2.0,2,58
29473290,78704,30.24382209777832,-97.76190185546876,2020,1795000,2020,2987,4.0,3,1
2077646167,78704,30.249744415283203,-97.77644348144533,2019,1499000,2020,3014,4.0,4,2
58312162,78704,30.24319267272949,-97.77416229248048,2000,699000,2020,2600,3.0,3,21
89550284,78704,30.2459716796875,-97.75910949707033,2007,619500,2018,1997,4.0,2,14
29475155,78704,30.23932838439941,-97.78199005126952,1965,499999,2018,1585,2.0,3,56
