zpid,zipcode,latitude,longitude
145658835,78744,30.176738739013672,-97.6942367553711
70341334,78725,30.22792625427246,-97.59042358398438
29370820,78726,30.42355918884277,-97.8604965209961
29392931,78725,30.282695770263672,-97.6613311767578
79981874,78725,30.240419387817383,-97.57878112792967
29344951,78733,30.335166931152344,-97.85942840576172
29377461,78726,30.44839859008789,-97.81524658203124
29343946,78732,30.33075523376465,-97.92648315429688
124154920,78717,30.48361015319824,-97.78970336914062
145658832,78744,30.17754554748535,-97.69530487060548
29370806,78726,30.42321586608887,-97.85885620117188
83816428,78724,30.27976036071777,-97.6302719116211
29343454,78746,30.33086395263672,-97.80318450927734
29334450,78735,30.29571914672852,-97.85768127441406
64901960,78726,30.431655883789062,-97.81967163085938
29360963,78750,30.37971115112305,-97.79204559326172
145658831,78744,30.17706680297852,-97.69659423828124
145657822,78725,30.23415184020996,-97.59125518798828
64918941,78730,30.340391159057614,-97.81853485107422
29370800,78726,30.4251708984375,-97.859130859375
246905609,78617,30.209400177001964,-97.6511001586914
90240442,78732,30.34282684326172,-97.91471099853516
120895447,78732,30.344581604003903,-97.90592956542967
29375958,78750,30.43920707702637,-97.79519653320312
29358963,78750,30.37553596496582,-97.79554748535156
29341440,78746,30.31850242614746,-97.81710815429688
29344947,78733,30.33751106262207,-97.8603973388672
90240441,78732,30.342981338500977,-97.91455841064452
89553418,78717,30.491443634033203,-97.7938003540039
144334371,78725,30.24240303039551,-97.58674621582033
29396923,78724,30.29047966003418,-97.64567565917967
121655462,78750,30.39280128479004,-97.82899475097656
114405939,78730,30.33772277832031,-97.82962799072266
29344946,78733,30.337270736694336,-97.8605499267578
70338371,78724,30.253454208374023,-97.57862091064452
185217414,78717,30.49484062194824,-97.79741668701172
83821443,78732,30.418142318725582,-97.8867416381836
2108947312,78725,30.23692321777344,-97.57284545898438
29578456,78729,30.458351135253903,-97.78578186035156
89550945,78733,30.31587219238281,-97.90125274658205
58298457,78730,30.369537353515625,-97.8431396484375
29459868,78725,30.24336814880371,-97.5872039794922
305432656,78660,30.44114112854004,-97.66085052490234
83823430,78732,30.34814262390137,-97.91183471679688
29341439,78746,30.320770263671875,-97.80978393554688
83813736,78726,30.43041610717773,-97.87356567382812
251036682,78744,30.14763641357422,-97.72132110595705
29377453,78750,30.444908142089844,-97.80756378173828
58298456,78730,30.36892890930176,-97.8440399169922
64455725,78732,30.41154670715332,-97.87689208984376
